current[A]	odmr_peak_pos_0[Hz]	odmr_peak_pos_1[Hz]
0.001	2648125132.2563195	2724718316.7054853
0.001	2648138618.114274	2724729074.0969687
0.001	2648149396.00315	2724735441.5097165
0.001	2648154027.0964527	2724738123.428235
0.001	2648155597.3158197	2724741427.0741863
0.001	2648156058.030134	2724743963.147893
0.001	2648154791.8313	2724747647.3956394
0.001	2648159808.2674713	2724749086.5180635
0.001	2648159895.25834	2724751384.303297
0.001	2648160250.424033	2724752280.1100883
0.001	2648159653.503017	2724751630.297161
0.001	2648163169.3063483	2724751298.1640644
0.001	2648163947.0300846	2724751509.644084
0.001	2648161349.332177	2724752774.685202
0.001	2648163722.778883	2724753707.851165
0.001	2648164559.7670417	2724752461.474573
0.001	2648162733.127192	2724752326.1256394
0.001	2648163760.742981	2724754608.851392
0.001	2648163731.341478	2724755876.905998
0.001	2648160281.847463	2724758540.9057584
0.001	2648160667.4794555	2724758254.535892
0.001	2648159015.0851793	2724757631.636703
0.001	2648161721.949664	2724759732.0076966
0.001	2648161735.1854916	2724757613.1069646
0.001	2648164484.6385126	2724757315.8904123
0.001	2648165043.578809	2724758152.520354
0.001	2648163212.9666224	2724757713.21422
0.001	2648161556.0052204	2724757546.795651
0.001	2648162658.5305033	2724758652.5290813
0.001	2648162567.8299866	2724759885.738471
0.05	2648246524.2543297	2724698142.780314
0.05	2648248474.3802204	2724699208.827184
0.05	2648248152.4144154	2724698315.921644
0.05	2648250056.7304688	2724699402.4440365
0.05	2648248924.8289804	2724698775.826228
0.05	2648249813.60256	2724699360.445482
0.05	2648247606.8160625	2724699737.64698
0.05	2648247145.064892	2724701520.1493597
0.05	2648247288.13526	2724700391.5060835
0.05	2648248206.714284	2724703946.417212
0.001	2648158418.2980623	2724766575.1671066
0.001	2648160070.292242	2724765581.7781973
0.001	2648162632.100686	2724763373.72367
0.001	2648162766.6810846	2724761216.0217714
0.001	2648164117.9372015	2724763568.8817797
0.001	2648161237.3124585	2724764326.8685436
0.001	2648161488.2338266	2724764169.676634
0.001	2648161620.8007517	2724764659.0625324
0.001	2648161652.2523212	2724766408.956794
0.001	2648159359.4818025	2724767349.949359
0.001	2648162463.49296	2724765506.74931
0.001	2648164078.9805093	2724764625.6038465
0.001	2648163649.6123343	2724763888.7657366
0.001	2648162737.394953	2724762309.3096905
0.001	2648164687.7792664	2724762294.473386
0.001	2648162897.6400337	2724764037.186903
0.001	2648164041.138587	2724762930.1995707
0.001	2648165602.904704	2724764098.0691905
0.001	2648163792.053222	2724765002.253916
0.001	2648163952.5190268	2724764493.091245
0.001	2648164839.7456865	2724763784.7287517
0.001	2648165548.140726	2724765629.4053707
0.001	2648164489.925709	2724767615.995941
0.001	2648164546.7063355	2724768887.9400406
0.001	2648161405.953272	2724769954.1716347
0.001	2648161748.449089	2724769425.390382
0.001	2648164991.183758	2724768117.239913
0.001	2648161335.5135336	2724768497.4761467
0.001	2648163220.0014596	2724769792.781374
0.001	2648163125.304612	2724770436.880329
0.05	2648247930.622957	2724709692.1305265
0.05	2648247471.207848	2724709484.547759
