times,odmr_peak_pos_0[Hz],odmr_peak_pos_1[Hz]
2024-04-19 19:24:32.016432,2648157653.2771974,2724798147.4534497
2024-04-19 19:24:36.764708,2648156534.6234784,2724792960.999809
2024-04-19 19:24:42.855930,2648159419.6499734,2724793008.9634094
2024-04-19 19:24:48.884714,2648160738.6172385,2724791801.1174207
2024-04-19 19:24:54.989334,2648160548.639262,2724791229.3168383
2024-04-19 19:25:01.039165,2648162234.139589,2724791289.3217144
2024-04-19 19:25:06.380202,2648162455.158991,2724792313.8275137
2024-04-19 19:25:12.344668,2648159529.1564436,2724792400.444994
2024-04-19 19:25:18.412204,2648160738.2166114,2724792795.0361867
2024-04-19 19:25:24.396613,2648160472.5793257,2724793165.2661495
2024-04-19 19:25:30.400982,2648158966.478717,2724792581.4997745
2024-04-19 19:25:35.805329,2648159204.61209,2724793012.0884094
2024-04-19 19:25:41.240239,2648159233.3013964,2724797063.368499
2024-04-19 19:25:47.282209,2648156067.0296235,2724792051.9926167
2024-04-19 19:25:52.684264,2648160831.4242754,2724792246.110811
2024-04-19 19:25:58.679822,2648158625.352545,2724793870.4921823
2024-04-19 19:26:04.674792,2648162272.3192825,2724792241.01559
2024-04-19 19:26:10.094280,2648161071.2407804,2724790957.086339
2024-04-19 19:26:16.187667,2648160676.7011995,2724791327.825125
2024-04-19 19:26:22.246864,2648164758.432511,2724790619.653825
2024-04-19 19:26:28.286591,2648162207.262031,2724793192.5026073
2024-04-19 19:26:34.276896,2648158604.54408,2724794190.12909
2024-04-19 19:26:40.296540,2648159867.97383,2724791372.890245
2024-04-19 19:26:46.339414,2648158760.7154713,2724794936.8244114
2024-04-19 19:26:52.328745,2648157760.7566166,2724790610.0325074
2024-04-19 19:26:58.348946,2648161483.379664,2724791980.298998
2024-04-19 19:27:04.133791,2648161097.095688,2724786785.2990904
2024-04-19 19:27:09.484579,2648161025.379263,2724791902.516728
2024-04-19 19:27:15.502197,2648163698.6469045,2724785797.6400266
2024-04-19 19:27:20.907005,2648163236.187038,2724790094.271613
2024-04-19 19:27:26.947556,2648160658.473074,2724789161.0027714
2024-04-19 19:27:32.355658,2648163484.5697894,2724791037.634076
2024-04-19 19:27:38.342997,2648163038.7876225,2724792045.8187733
2024-04-19 19:27:43.785285,2648160091.073578,2724788864.5975695
2024-04-19 19:27:49.873232,2648161710.0433874,2724789552.081926
2024-04-19 19:27:55.272986,2648162802.4723625,2724792073.338833
2024-04-19 19:28:01.321688,2648160348.6018233,2724794370.259592
2024-04-19 19:28:06.789144,2648159592.3444757,2724790016.326539
2024-04-19 19:28:12.187028,2648162700.099232,2724791185.796264
2024-04-19 19:28:17.546825,2648158482.7168026,2724791737.8354726
2024-04-19 19:28:23.583438,2648162488.072071,2724793052.1100173
2024-04-19 19:28:28.951829,2648163112.3119774,2724793791.9977293
2024-04-19 19:28:35.039918,2648162895.586301,2724790062.332046
2024-04-19 19:28:40.810663,2648161904.443656,2724787541.163147
2024-04-19 19:28:46.819264,2648160080.531006,2724790270.4767313
2024-04-19 19:28:52.811794,2648159711.9063754,2724788191.1334496
2024-04-19 19:28:58.799164,2648153822.060523,2724791878.015162
2024-04-19 19:29:04.215862,2648158811.7713842,2724789245.104979
2024-04-19 19:29:10.023528,2648159728.257374,2724793692.478866
2024-04-19 19:29:14.838632,2648159196.7702336,2724790842.0922832
